catalog_id,merchant,price,currency,in_stock,timestamp
prod_434e9f6196544182a32ace6a0d6d17fb,Jaxxon,124,USD,TRUE,4/15/2025 10:59
prod_434e9f6196544182a32ace6a0d6d17fb,Jaxxon,124,USD,TRUE,4/14/2025 15:41
prod_3e23c6d1123b4bc79222344f11171bd7,Jaxxon,279,USD,TRUE,4/14/2025 15:41
prod_3c3252ea81cf4cab99cab5c86f886aad,Jaxxon,223,USD,TRUE,4/14/2025 15:41
prod_dc152036ecd9409caf616970ab3de70f,Jaxxon,443,USD,TRUE,4/15/2025 10:59
prod_eef7223fbc444a2d824aff6d4deea113,Jaxxon,144,USD,TRUE,4/15/2025 10:59
prod_eef7223fbc444a2d824aff6d4deea113,Jaxxon,174,USD,TRUE,4/14/2025 15:41
prod_9dc126eef2274d08adf02b784156bb8c,Jaxxon,253,USD,TRUE,4/15/2025 10:59
prod_f49042de9fe14378af3a4549ba25fe94,Jaxxon,313,USD,TRUE,4/14/2025 15:41
prod_4d639d44065a40a0830bafcde2c6cd79,Jaxxon,149,USD,TRUE,4/15/2025 10:59
prod_4d639d44065a40a0830bafcde2c6cd79,Jaxxon,149,USD,TRUE,4/14/2025 15:41
prod_6dd999d072ac42ba9149de70d5a21a5b,Jaxxon,318,USD,TRUE,4/15/2025 10:59
prod_6dd999d072ac42ba9149de70d5a21a5b,Jaxxon,318,USD,TRUE,4/14/2025 15:41
prod_ffeec07a08cb4b859de075d263bfd4ba,Jaxxon,199,USD,TRUE,4/15/2025 10:59
prod_ffeec07a08cb4b859de075d263bfd4ba,Jaxxon,249,USD,TRUE,4/14/2025 15:41
prod_1ca878dcbf9f49ee8a8ffb502178b8bd,Jaxxon,349,USD,TRUE,4/15/2025 10:59
prod_42cdac9042b946a49c6025dfbe27e629,Jaxxon,214,USD,TRUE,4/15/2025 10:59
prod_edd5616f6052491ab75cd20c5f9c21b0,Jaxxon,238,USD,TRUE,4/15/2025 10:59
prod_746ad9bdf94c4086a4f696c86e3bb946,Jaxxon,279,USD,TRUE,4/14/2025 15:41
prod_b457ede8fc094271a3b0b3e30ac343de,Jaxxon,398,USD,TRUE,4/15/2025 10:59
prod_1943d0ba9488456f84248a3ffae7ba1b,Jaxxon,399,USD,TRUE,4/15/2025 10:59
prod_a5052fc2509443cba96b2c1e127f76c4,King Ice,5300,USD,FALSE,4/14/2025 15:41
prod_56f073994f9a48cbb5225181cb487aa0,Bonobos,119,USD,TRUE,4/15/2025 10:59
prod_56f073994f9a48cbb5225181cb487aa0,Bonobos,119,USD,TRUE,4/14/2025 15:41
prod_eb09ab355d624084b74f4506e81b29d2,Bonobos,83.3,USD,TRUE,4/15/2025 10:59
prod_eb09ab355d624084b74f4506e81b29d2,Bonobos,119,USD,TRUE,4/14/2025 15:41
prod_c121e75bcce24242a2e656e21acef121,Bonobos,49,USD,TRUE,4/14/2025 15:41
prod_0b53ba9ed5db4e2eb0fecacd23d210a5,Bonobos,97.3,USD,TRUE,4/15/2025 10:59
prod_093c004e615f4fc38dae9fb54e412823,Bonobos,99,USD,TRUE,4/15/2025 10:59
prod_24d34aad2fbc468f9b171d158bae7f50,Bonobos,99,USD,TRUE,4/15/2025 10:59
prod_6d7dfc80588e4e93befca453ff6fdc8e,Bonobos,90.3,USD,TRUE,4/15/2025 10:59
prod_6d7dfc80588e4e93befca453ff6fdc8e,Bonobos,129,USD,TRUE,4/14/2025 15:41
